grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4	det.hist
653	RNH	0	0	0	NA	NA	NA	NA	NA	NA	JH.O.11	JH.O.12	LR.O.11	NA	000
654	GH	0	0	0	NA	0	NA	NA	NA	NA	JH.O.11	JH.O.12	JH.O.13	NA	000
654	WH	0	0	0	NA	NA	NA	NA	NA	NA	JH.O.11	JH.O.12	JH.O.13	NA	000
654	OPH	0	0	0	NA	NA	NA	NA	NA	NA	JH.O.11	JH.O.12	JH.O.13	NA	000
654	RNH	0	0	0	NA	NA	NA	NA	NA	NA	JH.O.11	JH.O.12	JH.O.13	NA	000
693	RNH	0	0	0	NA	0	0	0	NA	0	KJ.O.1	RJ.O.11	RJ.O.12	NA	000
693	GH	0	0	0	NA	0	0	0	NA	NA	RJ.O.11	RJ.O.12	RJ.O.13	NA	000
693	WH	0	0	0	NA	0	0	0	NA	NA	RJ.O.11	RJ.O.12	RJ.O.13	NA	000
693	OPH	0	0	0	NA	0	0	0	NA	NA	RJ.O.11	RJ.O.12	RJ.O.13	NA	000
717	GH	0	0	0	NA	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	NA	000
717	WH	0	0	0	NA	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	NA	000
717	OPH	0	2	0	NA	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	NA	020
717	RNH	0	0	0	NA	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	NA	000
718	GH	2	0	0	NA	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	NA	200
718	WH	0	0	0	NA	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	NA	000
718	OPH	0	0	0	NA	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	NA	000
718	RNH	0	0	0	NA	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	NA	000
752	GH	0	0	0	NA	NA	NA	NA	NA	NA	WI.O.1	WI.O.2	WI.O.3	NA	000
752	WH	0	0	0	NA	NA	NA	NA	NA	NA	WI.O.1	WI.O.2	WI.O.3	NA	000
752	OPH	0	0	0	NA	NA	NA	NA	NA	NA	WI.O.1	WI.O.2	WI.O.3	NA	000
752	RNH	0	0	0	NA	NA	NA	NA	NA	NA	WI.O.1	WI.O.2	WI.O.3	NA	000
775	GH	2	2	2	2	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	KB.O.14	2222
775	WH	0	0	2	2	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	KB.O.14	0022
775	OPH	0	2	2	2	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	KB.O.14	0222
775	RNH	0	0	0	0	NA	NA	NA	NA	NA	KB.O.11	KB.O.12	KB.O.13	KB.O.14	0000
782	GH	0	0	0	NA	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	NA	000
782	WH	0	0	0	NA	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	NA	000
782	OPH	0	0	0	NA	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	NA	000
782	RNH	0	0	0	NA	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	NA	000
783	GH	0	0	0	NA	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	NA	000
783	WH	0	0	0	NA	NA	NA	NA	NA	NA	TM.O.11	TM.O.12	TM.O.13	NA	000
